mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
3.451643387476603,0.15411845204850638,1.3289357821146648,0.4267770836132966,,10,20,200,"{'model__max_depth': None, 'model__min_samples_leaf': 10, 'model__min_samples_split': 20, 'model__n_estimators': 200}",0.9187613146965785,0.9245446584821557,0.9234282136810497,0.9222447289532614,0.0025049608661247722,1
5.301250060399373,0.760971559225294,2.0383763313293457,0.24563385547373617,,10,20,400,"{'model__max_depth': None, 'model__min_samples_leaf': 10, 'model__min_samples_split': 20, 'model__n_estimators': 400}",0.9175806248544205,0.9246418725268204,0.92372712896917,0.9219832087834702,0.0031354157494991952,2
3.0638787746429443,0.08415718956555568,1.4507471720377605,0.3316941616240584,,10,50,200,"{'model__max_depth': None, 'model__min_samples_leaf': 10, 'model__min_samples_split': 50, 'model__n_estimators': 200}",0.9153781470259861,0.923609233431583,0.9225536041874287,0.9205136615483326,0.0036568401963263607,6
5.37236491839091,0.47398463948299396,2.000981330871582,0.19090548358511983,,10,50,400,"{'model__max_depth': None, 'model__min_samples_leaf': 10, 'model__min_samples_split': 50, 'model__n_estimators': 400}",0.9154026735051446,0.9234923982035914,0.9227354492732436,0.9205435069939932,0.0036482296748641574,5
3.402972857157389,0.1203126354572414,1.3618613084157307,0.04095190402371021,,10,100,200,"{'model__max_depth': None, 'model__min_samples_leaf': 10, 'model__min_samples_split': 100, 'model__n_estimators': 200}",0.9133968534459629,0.921689181726792,0.9208130020424887,0.9186330124050812,0.003719761927297932,10
5.548089106877645,0.2609639711796658,1.7293126583099365,0.21758054003332003,,10,100,400,"{'model__max_depth': None, 'model__min_samples_leaf': 10, 'model__min_samples_split': 100, 'model__n_estimators': 400}",0.9125755880074733,0.921462348955908,0.9207676893372816,0.918268542100221,0.00403550349795716,12
3.3220295906066895,0.30702704507813,0.9038373629252116,0.1266322923252015,,20,20,200,"{'model__max_depth': None, 'model__min_samples_leaf': 20, 'model__min_samples_split': 20, 'model__n_estimators': 200}",0.9137281838825952,0.9211130324345593,0.9211468303985557,0.9186626822385701,0.003489244530881669,9
4.87734317779541,0.18208958859685093,1.3523071606953938,0.3553827733025831,,20,20,400,"{'model__max_depth': None, 'model__min_samples_leaf': 20, 'model__min_samples_split': 20, 'model__n_estimators': 400}",0.9130852928379856,0.9209890622308126,0.9208797082872036,0.9183180211186673,0.0037003669652103405,11
3.3377270698547363,0.16615846505640944,0.9014247258504232,0.14006179290262688,,20,50,200,"{'model__max_depth': None, 'model__min_samples_leaf': 20, 'model__min_samples_split': 50, 'model__n_estimators': 200}",0.9128468657314992,0.9210403448690532,0.9205665306394113,0.9181512470799879,0.0037557485803941305,13
5.197538057963054,0.05889311057477506,1.3516648610432942,0.13859681247282393,,20,50,400,"{'model__max_depth': None, 'model__min_samples_leaf': 20, 'model__min_samples_split': 50, 'model__n_estimators': 400}",0.9124648472379395,0.9215009967412484,0.920409644683022,0.9181251628874033,0.004027169582342935,14
3.026000420252482,0.23472115271666472,1.661479075749715,0.3408233590093282,,20,100,200,"{'model__max_depth': None, 'model__min_samples_leaf': 20, 'model__min_samples_split': 100, 'model__n_estimators': 200}",0.9099222688985069,0.9198208585962262,0.9186828591990139,0.9161419955645824,0.004422481242284038,21
4.962952454884847,0.22221720355861307,1.500019947687785,0.2341164417819373,,20,100,400,"{'model__max_depth': None, 'model__min_samples_leaf': 20, 'model__min_samples_split': 100, 'model__n_estimators': 400}",0.9100028346664094,0.919583174716381,0.9187654620321127,0.916117157138301,0.004336347770202666,22
3.38394824663798,0.0061744232136479145,0.5518457889556885,0.04024536970592299,,50,20,200,"{'model__max_depth': None, 'model__min_samples_leaf': 50, 'model__min_samples_split': 20, 'model__n_estimators': 200}",0.9025206234244525,0.9148841986002663,0.9134132144327949,0.9102726788191712,0.005514328048356001,37
